Fecha,Equipo_Local,Equipo_Visitante,Resultado,Goles_esperados_(xG)_Local,Goles_esperados_(xG)_Visitante,Posesión_Local,Posesión_Visitante,Remates_a_puerta_Local,Remates_a_puerta_Visitante,Córneres_Local,Córneres_Visitante,Tarjetas_amarillas_Local,Tarjetas_amarillas_Visitante,Faltas_Local,Faltas_Visitante,Paradas_Local,Paradas_Visitante,Puntos_Local,Puntos_Visitante,Peso_Local,Peso_Visitante,Valor_Mercado_Millones_Eur_Local,Valor_Mercado_Millones_Eur_Visitante,Resultado_Prorroga,Resultado_Penaltis,Pases_Local_Pct,Pases_Local_Exitosos,Pases_Visitante_Pct,Pases_Visitante_Exitosos
2026-06-23,Inglaterra,Ghana,nan,,,,,,,,,,,,,,,1825.97,1346.31,1.0,0.6,52.24,9.01,,,,,,
2026-06-23,Portugal,Uzbekistán,nan,,,,,,,,,,,,,,,1763.83,1465.34,1.0,0.7,38.67,3.27,,,,,,
2026-06-23,Noruega,Senegal,nan,,,,,,,,,,,,,,,1550.94,1688.99,1.0,0.6,22.69,18.39,,,,,,
2026-06-23,Jordania,Argelia,nan,,,,,,,,,,,,,,,1391.45,1564.26,0.7,0.6,0.781,9.88,,,,,,
2026-06-24,Panamá,Croacia,nan,,,,,,,,,,,,,,,1540.64,1717.07,0.75,1.0,1.33,14.9,,,,,,
2026-06-24,Colombia,RD Congo,nan,,,,,,,,,,,,,,,1693.09,1478.35,0.95,0.6,11.63,5.53,,,,,,
2026-06-24,Bosnia-Herzegovina,Catar,nan,,,,,,,,,,,,,,,1385.84,1454.96,1.0,0.7,5.63,0.766,,,,,,
2026-06-24,Suiza,Canadá,nan,,,,,,,,,,,,,,,1649.4,1556.48,1.0,0.75,12.79,7.64,,,,,,
2026-06-25,Ecuador,Alemania,nan,,,,,,,,,,,,,,,1594.78,1730.37,0.95,1.0,14.18,36.42,,,,,,
2026-06-25,Curazao,Costa de Marfil,nan,,,,,,,,,,,,,,,1294.65,1532.98,0.75,0.6,0.991,20.08,,,,,,
2026-06-25,Sudáfrica,Corea del Sur,nan,,,,,,,,,,,,,,,1429.73,1588.66,0.6,0.7,1.89,5.35,,,,,,
2026-06-25,Marruecos,Haití,nan,,,,,,,,,,,,,,,1755.87,1291.71,0.6,0.75,17.22,2.15,,,,,,
2026-06-25,Escocia,Brasil,nan,,,,,,,,,,,,,,,1498.35,1761.16,1.0,0.95,6.55,35.7,,,,,,
2026-06-25,República Checa,México,nan,,,,,,,,,,,,,,,1501.38,1681.03,1.0,0.75,7.24,7.38,,,,,,
2026-06-26,Japón,Suecia,nan,,,,,,,,,,,,,,,1660.43,1514.77,0.7,1.0,10.42,15.62,,,,,,
2026-06-26,Túnez,Países Bajos,nan,,,,,,,,,,,,,,,1483.05,1757.87,0.6,1.0,2.69,29.01,,,,,,
2026-06-26,Paraguay,Australia,nan,,,,,,,,,,,,,,,1503.5,1580.67,0.95,0.7,5.91,2.98,,,,,,
2026-06-26,Turquía,EE. UU.,nan,,,,,,,,,,,,,,,1599.04,1673.13,1.0,0.75,18.22,14.83,,,,,,
2026-06-26,Noruega,Francia,nan,,,,,,,,,,,,,,,1550.94,1877.32,1.0,1.0,22.69,58.58,,,,,,
2026-06-26,Senegal,Irak,nan,,,,,,,,,,,,,,,1688.99,1447.14,0.6,0.7,18.39,0.815,,,,,,
2026-06-27,Panamá,Inglaterra,nan,,,,,,,,,,,,,,,1540.64,1825.97,0.75,1.0,1.33,52.24,,,,,,
2026-06-27,Croacia,Ghana,nan,,,,,,,,,,,,,,,1717.07,1346.31,1.0,0.6,14.9,9.01,,,,,,
2026-06-27,Nueva Zelanda,Bélgica,nan,,,,,,,,,,,,,,,1281.57,1734.71,0.7,1.0,1.32,21.06,,,,,,
2026-06-27,Cabo Verde,Arabia Saudí,nan,,,,,,,,,,,,,,,1366.13,1421.43,0.6,0.7,2.1,1.56,,,,,,
2026-06-27,Uruguay,España,nan,,,,,,,,,,,,,,,1673.07,1876.4,0.95,1.0,13.82,47.03,,,,,,
2026-06-27,Egipto,Irán,nan,,,,,,,,,,,,,,,1563.24,1615.3,0.6,0.7,4.48,1.23,,,,,,
2026-06-28,Argelia,Austria,nan,,,,,,,,,,,,,,,1564.26,1593.45,0.6,1.0,9.88,9.43,,,,,,
2026-06-28,Colombia,Portugal,nan,,,,,,,,,,,,,,,1693.09,1763.83,0.95,1.0,11.63,38.67,,,,,,
2026-06-28,RD Congo,Uzbekistán,nan,,,,,,,,,,,,,,,1478.35,1465.34,0.6,0.7,5.53,3.27,,,,,,
2026-06-28,Jordania,Argentina,nan,,,,,,,,,,,,,,,1391.45,1874.81,0.7,0.95,0.781,31.06,,,,,,
